titulo_puesto,empresa,descripcion,modalidad,localidad,experiencia,tipoempleo,pais
Científico Analítico Experiencia En Plantas De  Fármacos Alimentos O Cosmeticos,Trabajo Joven Sí Hay,Importante empresa del sector Farmacéutico Esta En Búsqueda De Científicos Analíticos Profesionales Quimicos  químicos farmacéuticos  quimico industrial etc  con experiencia de 3 anos en Procesos de laboratorio partes documentales  presentación de datos  manejo de tablas precisas experiencia en plantas únicamente de alimentos farmacéutico o Cosméticos Buenas Prácticas de Laboratorio Buenas Prácticas de Manufacturación Sistemas de Gestión de Calidad Salario7500000 pago quincenal  prestaciones de ley contrato obra o labor horarios  Rotativos de domingo a domingo incluida noche recargos nocturnos  horas extra descanso un día entre semana,onsite,Colombia,Intermedio,Fulltime,Colombia
Científico de datos para proyectos de Inteligencia Artificial,Trabajo Joven Sí Hay,la principal responsabilidad del rol es la resolución de problemas utilizando técnicas de ciencia de datos y machine learning e implementar la solución generada en un sistema de información que se puede desplegar en el edge o en la nube Para lograr esto debe tener la capacidad de obtener y transformar datos provenientes de todo tipo de fuentes eliminando el ruido y buscando patrones Además de esto prepara los datos para su posible uso en modelos analíticos o modelos de aprendizaje de máquina e inteligencia artificial El resultado de este trabajo será la obtención de información que luego será convertida en conocimiento significativo para el cliente El resultado de este trabajo será la obtención de información que luego será convertida en conocimiento significativo para el cliente Funciones Realizar el entendimiento del negocio Realizar el entendimiento de los datos Liderar los procedimientos de minería y recopilación de datos ya sea con o sin técnicas de BigData Realizar la preparación de los datos Asegurar la calidad y la integridad de los datos que serán utilizados para la modelación Proponer modelos para resolver el problema específico del proyecto Evaluar el modelo propuesto Desplegar el modelo Interpretar y analizar problemas de datos Evaluar alternativas y soluciones con los encargados de gobernar y gestionar datos,onsite,Colombia,Sin experiencia,Fulltime,Colombia
Científico Analítico Experiencia En Plantas De  Fármacos Alimentos O Cosmeticos,Trabajo Joven Sí Hay,Importante empresa del sector Farmacéutico Esta En Búsqueda De Científicos Analíticos Profesionales Quimicos  químicos farmacéuticos  quimico industrial etc  con experiencia de 3 anos en Procesos de laboratorio partes documentales  presentación de datos  manejo de tablas precisas experiencia en plantas únicamente de alimentos farmacéutico o Cosméticos Buenas Prácticas de Laboratorio Buenas Prácticas de Manufacturación Sistemas de Gestión de Calidad Salario7500000 pago quincenal  prestaciones de ley contrato obra o labor horarios  Rotativos de domingo a domingo incluida noche recargos nocturnos  horas extra descanso un día entre semana,onsite,Colombia,Intermedio,Fulltime,Colombia
Cientifico De Datos  Importante Empresa Del Sector,Trabajo Joven Sí Hay,Importante empresa del sector requiere hombre o mujer con 2 anos de experiencia específica o relacionada a Ciencia de Datos o cientifico de datos Experiencia en manejo de Herramientas estadísticas herramientas de visualización conocimiento en la creación y desarrollo de modelos descriptivos predictivos y prospectivos manejo de bases de datos SQL manejo en Manejo avanzado de bases de datos Conocimiento de técnicas supervisados y no supervisados en el análisis de datos Machine Learning Reglas de Asociación Data Mining Clustering etc Ciclo de vida de desarrollo de software Infraestructura para Big Data Conocimiento lenguaje R SQL Python Java y visualizadores creación de pipelines de datos con tecnologías ETL y frameworks de orquestación Mecánica Estadística y Procesos Estocásticos Teoría de Juegos Optimización Grafos Dinámicos Redes Complejas RANGO SALARIAL DE 6000000 a 6500000,onsite,Colombia,Sin experiencia,Fulltime,Colombia
Científico de Datos Data Developer,Grupo Syntepro CR,OBJETIVO DEL PUESTOResponsable del diseño estratégico y técnico de productos de ciencia de datosResponsable de generación de insights que guíen y orienten la toma de decisionesDefinición de los requerimientos necesarios de gobernanza de datos para el desarrollo de las solucionesFUNCIONES DEL PUESTO Usa herramientas estadísticas para interpretar los datos y generar información de valor a partir de identificar patrones yo tendencias Desarrolla flujos de ciencia de datos que abarcan la importación transformación visualización modelación y comunicación de datos Trabaja con los equipos de Analítica Avanzada para desarrollar modelos y visualizaciones de índole predictiva y prescriptiva Plantea la visión estratégica para la correcta recolección de datos procesos ETL documentación de fuentes metadata y data ops para modelos en producciónRequisitosCONOCIMIENTOS INDISPENSABLESVisio2 añosExcel2 añosMS Office2 años Pensamiento estratégico Trabajo en equipo Resolución de problemas StorytellingCONOCIMIENTOS TECNICOS DESEABLES Conocimiento avanzado de R como scripting language para análisis de datos Conocimiento avanzado del uso del Tidyverse para el desarrollo de productos de datos Desarrollo de Shiny Apps utilizando R Manejo de SQL para consultas avanzadas creación de KPIs y modelos descriptivos Herramientas de transformación de datos como Alteryx Tableau Prep o KNIME Visualización de datos con herramientas de BI  Tableau preferiblemente Implementación de modelos analíticos en el stack tecnológico de Google Cloud Computing GCP Comprensión de elementos de gobernanza de datos metadata linaje catálogo de datos reglas de calidad Aplicación de conceptos de ingeniería de software unit testing modularityHABILIDADES REQUERIDASEs capaz de captar los requerimientos del área funcional y colaborar con el equipo de científico de datos para el desarrollo de productosPensamiento estratégicoTrrabajo en equipoResolución de problemasStorytellingBeneficiosBajo planillaCerveceria,onsite,Costa Rica,Intermedio,Fulltime,Costa Rica
Científico de datos  Énfasis en finanzas,Magneto Empleos,OBJETIVO DEL CARGOAnalizar y proponer oportunidades para maximizar el ingreso de la organizaciónResponsabilidades Específicas Analizar e identificar oportunidades de valor capitalizables en el mercado usando herramientas de analítica y tecnológicas Construir análisis de precios para los productos de la compañía Construir y actualizar periódicamente simuladores de precios Crear dashboards de seguimiento de indicadores a la gestión de ingresos,onsite,Colombia,Intermedio,Fulltime,Colombia
MSL  Respiratorio e Inmunología,AstraZeneca,Identificar de forma proactiva a los HCP con altos niveles de experiencia científica en la práctica local para colaborar en actividades específicas médicas y de marketing Desarrollo e implementación del plan de participación de OL en colaboración con el Gerente MédicoRevisar con el Gerente Médico este plan cada trimestre y desarrollar un plan de visitas a OLs esto incluye plan de visita  preparación previa a la visita con un objetivo claro de la visita discusión de puntos clave para la visita datos compartidos y discutidos con el OLDesarrollar conocimientos científicos propios con datos locales para enriquecer el debate sobre entodos los aspectos clínicos de una manera científica objetiva y equilibrada  Desarrollar una base de datos delíderes de opinión clave y también proporcionar recomendaciones para la participación de AdvisoryBoards Proporcionar proactivamente actualizaciones científicas e información a OLs e identificar la relevanciade los datos para la comunidad científicaCrear y mantener relaciones con terceras partes basadas en la confianzaIniciar programas o desarrollar proyectos científicos relacionados a las áreas terapéuticas prioritariasabarcando necesidades médicas insatisfechasTrabajar con profesionales de la salud en actividades científicas que contribuyan a incrementar elconocimiento Interactuar con la comunidad médica en el contexto de diferentes proyectos médicos como ensayosclínicos Responder preguntas de los Líderes de Opinión sobre información que no estuviera incluida en elprospecto Capacidad de entablar discusiones sobre estudios clínicos relacionadas a factibilidad y diseño del estudio Soporte médico y científico a los clientes internos Funcionar como Experto científico en las áreas terapéuticas prioritarias para los clientes internos Proporcionar a los clientes internos información sobre la comunidad médica práctica clínica tendencias necesidades de conocimiento o tratamiento médicos información sobre la competencia,onsite,Chile,Algo de responsabilidad,Fulltime,Chile
Cientifico de datos,Trabajo Joven Sí Hay,En KOAJ Permoda abrimos una nueva oportunidad para profesionales en Administración de empresas Ingeniería de Sistemas matemáticas estadística y analítica o afines con especialización en Inteligencia de negocios Big Data Analítica estratégica de datos o a fines en ciencias computacionales Que cuenten con experiencia de 5 a 6 Anos en el análisis y estrategia para la administración de grandes volúmenes de datos Big Data Manejo de bases de datos SQL Service con conocimiento técnico en gestión de bases de datos y lenguajes de programación lenguaje R SAS yo Python Deep Learnig Machine Learning o a fines Su principal actividad será aportar y traducir grandes volúmenes de datos que aportan valor y hacen comprensible los datos Big Data comunicando los hallazgos de estos a nivel tecnológico y empresarial para orientar las decisiones de la organización Esta es la oportunidad que estabas esperando,onsite,Colombia,Sin experiencia,Fulltime,Colombia
INGENIERO DE DATOS ACTIVATE18 EN UNIDAD DE CAPACIDADES ANALITICAS,Bam,Descripción generalSer el responsable de garantizar que el procesamiento traslado y transformación de datos desde y hacia la plataforma analítica para que sea correcta y pueda ser utilizada para la construcción de Modelos Analíticos y que se realice de forma tal que permita su automatización y productización en aplicaciones de datos e implementaciones de modelos analíticos Apoyar en la productización de los modelos analíticos ya desarrollados y en el backtesting de los mismos Realizar monitoreos continuos de calidad e integridad de los activos de informaciónEducaciónEducaciónLicenciatura en ciencias de la computación matemática estadística economía ingeniería o equivalentesConocimientos en Inteligencia de Negocios Manejo de Lenguaje SQL Server Programacion en Python conocimientos en R opcional conocimientos en arquitecturas de datos inhouse la nube y bigdataInglés AvanzadoHabilidadesConocimiento en tendencias tecnológicas y digitalesConocimiento en herramientas metodologías y soluciones innovadoras enfocadas a su cargoCapacidad de generar impacto e influenciaCompetencias corporativasLos clientesEl ser humanoLa integridadEl crecimiento sostenibleEl desempeño extraordinarioEl dinamismoExperienciaIngeniero de datos cientifico de datos analista senior gestor de proyectos de informática yo similares,onsite,Guatemala,Sin experiencia,Fulltime,Guatemala
Aplicaciones Científicas,Apotex Inc.,Acerca de Apotex Inc Apotex Inc es una compañía farmacéutica global orgullosamente canadiense que produce medicamentos de alta calidad y accesibles para pacientes de todo el mundo Apotex emplea a casi 8000 personas en todo el mundo en manufactura Investigación y Desarrollo y operaciones comerciales Apotex Inc exporta a más de 100 países y opera en más de 45 países con una presencia significativa en Canadá Estados Unidos México e India A través de la integración vertical Apotex se compone de múltiples divisiones y afiliados incluyendo Apotex Inc enfocados en genéricos Apobiologix una división de Apotex Inc enfocada en el desarrollo biosimilar Aveva una filial de Apotex Inc desarrollador y fabricante global totalmente integrado de soluciones transdérmicas completas Apotex Productos de Consumo una división de Apotex Inc enfocada en productos de marca y Global Active Pharmaceutical Ingredients GAPI una división de Apotex Inc enfocada en la fabricación de ingredientes farmacéuticos activos API para Apotex y terceros Para más información visite wwwapotexcomJob SummaryPlanificar diseñar implementar y mantener las aplicaciones tecnológicas empresariales relacionadas con el uso de software de manufactura sistemas analíticos de laboratorio y productos relacionados con sistemas científicos Ayudar a preservar el estado validado de los sistemas manteniendo un firme propósito de la mejora continua apoyándose en la reingeniería de procesos cumpliendo con las regulaciones y estándares aplicables al área de Tecnologías de información y el Grupo Apotex en su conjuntoJob Responsibilities Implementar y Administrar aplicaciones de software y dispositivos de manufactura y sistemas análiticios a nivel compañía e intercompañía de proyectos globales y locales  Proporcionar soporte técnico asesoría y capacitación a los usuarios en software de aplicaciones de Manufactura sistemas analíticos de laboratorio y sistemas científicos en general  Revisar y ejecutar acuerdos de nivel de servicio de proveedores externos que incluyen actuar como un punto de contacto de rutina recopilar datos de rendimiento investigar inquietudes escalar problemas y supervisar las acciones de mejora del servicio del proveedor  Participar en el desarrollo de opciones de solución para mejoras de procesos utilizando componentes automatizados y no automatizados  Ejecutar y coordinar mejoras en las aplicaciones científicas trabajos relacionados con soluciones para fallas modificaciones a la configuración manipulación de datos o personalizaciones asegurando que todas las solicitudes de cambio sean priorizadas y entregadas a los objetivos acordados  Contribuir a los requerimientos especificación y diseño de aplicaciones científicas y garantizar la compatibilidad con las arquitecturas TIC  Participar en todas las etapas planificación estimación ejecución validación de proyectos de integración de aplicaciones individuales para garantizar que se cumplan los objetivos técnicos financieros y de calidad  Gestionar o realizar la configuración administración monitoreo y mantenimiento de bases de datos relacionadas con las aplicaciones científicas Job RequirementsEducación Carrera profesional concluida o pasante en Licenciatura en Informática Ingeniería en Sistemas Computacionales o afin  Idioma Inglés Intermedio  Conocimiento Competencias y Habilidades Conocimiento en sistemas de Cromatografía Sistemas Analíticos ERP SCADA etc Deseable conocimiento del marco regulatorio nacional e internacional FDA ICH NOM164 etc  Deseable Conocimiento y aplicación de guías internacionales GAMP5 ITIL COBIT etc  Excelentes habilidades de resolución de problemas  Trabajo en equipo requerido  Alto sentido de prioridades requerido  Actitud de servicio requerido Experiencia Un mínimo de 2 años actuando como administrador de Empower yo sistemas análíticos  Deseable 2 años de experiencia en sistemas de manufactura de SCADA  Mínimo 2 años en actividades de soporte técnico principalmente Windows y servicios de Directorio Activo Nuestro enfoque está en la gente y es través del coraje pasión colaboración y perseverancia que hacemos la diferencia en el paciente,onsite,Mexico,Intermedio,Fulltime,Mexico
