titulo_puesto,empresa,descripcion_puesto,modalidad,salario,localidad,fecha_posteo,nivel_de_experiencia,tipo_empleo,pais
DATA ENGINEER 1,VOLL,"A VOLL nasceu para simplificar a mobilidade com uma solução única e global. É a tecnologia mais usada pelas maiores empresas do Brasil parar gerir o deslocamento e as viagens das suas equipes. Que tal fazer parte disso tudo?Buscamos pessoas com vontade de revolucionar a maneira como os profissionais se movimentam pelo mundo!Responsabilidades e atribuiçõesO que você irá fazer:Apoia na construção de pipelines de dados de ponta-a-ponta, desde o mapeamento das fontes de dados de origem, processamento e transformações, até a entrega final;Realiza correções e melhorias em pipelines de dados existentes.Realiza integração com provedores externos de dados, organização e disponibilização desses dados para consumo;Cria e acompanha rotinas para monitoramento dos pipelines de dadosRequisitos e qualificaçõesRequisitos básicos:Formação técnica e experiência profissional com viés quantitativo/analítico;Requisitos obrigatórios:Entende e tem conhecimentos sobre os conceitos de engenharia de dados (ingestão, armazenamento, integração, processamento, acesso);Conhecimentos em Python e SQL.Conhecimentos com serviços GCP como Cloud Storage, BigQuery, Dataproc, Composer (Airflow);Desejável conhecimento em Spark.Será um diferencial possuir como experiência:Desejável experiência prévia como engenheiro de dados ou com atividades relacionadas a engenharia de dados.Comportamento/Habilidades/AtitudesEspírito de equipe.Solução de problemas.Capacidade de aprendizagem.Iniciativa/Pró atividade.Informações adicionaisO que você vai encontrar aqui:Home office;Auxílio home office;Day OFF no aniversário;VOLL PLUS - Reembolso em atividades voltadas a educação, saúde e bem estarBenefício flexível no cartão Flash (alimentação e refeição - R$29,50 por dia útil);Plano de saúde Bradesco - TOP nacional;Plano Odontológico;Seguro de vida em grupo;",remote,0,Brazil,2023-04-11,0,Fulltime,Brazil
Data Engineer,Enroute,"Enroute is about being exceptional. We deliver IT services and solutions by tech-savvy problem solvers, constantly looking for innovative approaches to everyday problems. Enrouters have unique ideologies, principles, and incredible life stories. Everyone is welcome at Enroute.We take pride in our culture. We want every Enrouter to enjoy working with us and become part of a great community of highly driven, responsible, respectful, and happy people. We offer outstanding benefits, compensation, flexible schedules, and policies that balance work and personal life. We strive to be involved and know our people to improve continuously.As a Data Engineer you will be responsible for creating and maintaining data pipelines, assembling complex datasets, and extracting, transforming, and loading data from various data sources. Requirements Python Spark/PySpark AWS (Glue, S3, Step Functions) Git CI/CD SQL BashReponsabilities Create, automate, and maintain data pipelines. Build robust data processing pipelines using AWS Services and integrate with multiple data sources. Experience extracting, transforming and loading of large data sets from a variety of data sources using Spark. Writing SQL queries and other types of data requests in the context of massive data sets. Translate data needs into detailed functional and technical designs for development, testing and implementationBenefitsMonetary compensationYear-end BonusIMSS, AFORE, INFONAVITMajor Medical Expenses InsuranceMinor Medical Expenses InsuranceLife InsuranceFuneral Expenses InsurancePreferential rates for car insuranceTDU MembershipHolidays and VacationsSick daysBereavement daysCivil Marriage daysMaternity & Paternity leaveEnglish, Japanese, and Spanish classesPerformance Management FrameworkCertificationsTALISIS Agreement: Discounts at ADVENIO, Harmon Hall, U-ERRE, UNIDTaquitos RewardsAmazon Gift Card on your BirthdayWork-from-home BonusLaptop PolicyEqual employmentEnroute is committed to providing equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state, or local laws. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, and training.Apply for this job",remote,0,Mexico,2023-03-14,Director,Fulltime,Mexico
Data Engineer,Sicredi,"Você se identifica com a área de Dados e possui como propósito ser excelente na utilização dos dados e ajudar pessoas a construir informações que agregue cada vez mais valor aos negócios?Então essa oportunidade é para você!Para nós, o Engenheiro de Dados tem um papel fundamental para o início do processo, visando o pipeline dos dados desde a coleta das origens até a entrega para análise. O principal objetivo e responsabilidade desse profissional é o de construir e otimizar a infraestrutura dos dados que irá permitir o armazenamento das informações com qualidade, disponibilidade, precisão e segurança. 😉Responsabilidades e atribuiçõesTrabalhar de forma próxima ao desenvolvimento de software;Obter os dados em um formato fácil e utilizável dos sistemas de origens;Construir o pipeline dos dados e entregar para análise;Prezar pela qualidade, performance e sustentabilidade dos pipelinesAdministrar bases de dados de acordo com as melhores práticas;Monitorar a performance de entrega de Workloads com menor custo;Interagir com os diferentes papéis do processo de dados (analistas, outros engenheiros, cientistas de dados e analistas de negócio);Participar da Chapter de Engenheiros de dados, incentivando e promovendo a disseminação da cultura de dados para os colegas e times da nossa operação;Manter a documentação necessária das suas entregas;Se manter em constante evolução técnica;Apoiar no onboarding de novos colaboradores do time.Requisitos e qualificaçõesRequisitos necessários para esta posição:Phyton;Java;Scala;Databricks;Modelagem de dados (DW - Data Warehouse)Infraestrutura de nuvem (Gestão, Processamento e Entrega de dados, com tudo que se relaciona);Conceitos de Big Data;Arquitetura de Dados;Sistemas de mensageria;Governança de dados e LGPD;Gestão de versionamento de código (Gitlab).Requisitos desejáveis para esta posição: Linguagens de Banco de Dados: MySQL, Oracle, Postgre, SQL Server;Conhecimento sobre como funciona o Data Lake e quais são suas camadas;Conhecimento sobre como funciona o Teradata e quais são suas camadas, incluindo Data Warehouse (DW).Informações adicionaisNo Sicredi você vai ter:14º e 15º salários fixos;Participações nos Lucros (de 2 até 5 salários, conforme a senioridade);Benefício saúde: Plano de Saúde e Odontológico sem coparticipação (apenas mensalidade por faixa etária), seguro de vida, auxílio nutrição e psicológico;Vale Alimentação e Vale Refeição – com flexibilidade de % nos cartões VA/VR, sem coparticipação;Licença maternidade e paternidade estendida;Auxílio creche ou babá para crianças até 6 anos e 11 mesesPrevidência Privada até 6% do salário;Plataforma de Treinamentos – Sicredi Aprende, com diversos cursos;Carga horário de 40h semanais – Utilizando sistema de banco de horas;Auxílio Home Office;Trabalho Remoto.",remote,0,Brazil,2023-02-06,0,Fulltime,Brazil
[Banco de Talentos] Pessoa Engenheira de Dados,Instituto Atlântico,"Olá, somos um Instituto de Pesquisa e Desenvolvimento movido a pessoas incríveis, ideias inovadoras, ambiente descontraído e muito espírito colaborativo entre os times.Você deseja fazer parte de projetos que utilizam tecnologias de ponta, transformando ideias inovadoras em realidade?O seu lugar é com a gente : )Requisitos e qualificaçõesFormação:Graduação em andamento em Computação, Engenharia de Software, ou em áreas correlatas.Experiência (nem todas as vagas pedirão todos esses requisitos, é só para você ter uma ideia):Engenharia de Dados, Ciência de Dados (ML) ou BI/Analytics;Python ou Java 8 (ou superior);REST APIs;Comunicação/apresentação, de forma gráfica e oral, dos resultados de análises e tarefas desenvolvidas.Desenvolvimento em ambiente Cloud (AWS, Azure, GCP);SQL;Apache Spark com PySpark;Linguagem de programação Python, Jupyter;Compreensão de códigos em outras linguages como Go, Java, Python.Idioma:Nível de inglês intermediário/avançado é um diferencial para a maioria de nossas vagas e obrigatório para as vagas de clientes internacionais.Informações adicionaisO que você vai encontrar aqui:Um ambiente que valoriza feedbacks, temos a prática de 1:1;Somos GPTW Ceará;Projetos internacionais e tecnologias inovadoras;Ambiente de aprendizado contínuo;Cultura de colaboração entre os times;Grupos de afinidades (Girl Power, Acesso, Ubuntu, TodEs, Diversidade Religiosa e Justiça Social);Escolha se deseja trabalhar de casa ou em nosso escritório;Auxílio Home office;No dress-code;Plano de saúde e odontológico;Vale refeição/alimentação diferenciado;Plano de previdência privada;Day off;Horários flexíveis de trabalho e feriados ponte;Apoio à formação acadêmica, certificações e curso de inglês;Auxílio creche;Contratação em regime CLT, e muito mais.Diversidade e inclusão no Instituto Atlântico:""No Atlântico acreditamos que a ética, o respeito e a valorização das pessoas são a essência da organização e dispomos de um ambiente no qual discriminação e preconceito contra raça, gêneros, orientação sexual, idade, religião e deficiência são combatidos, buscando garantir a equidade de tratamento e de oportunidade para todos os colaboradores.Para além da promoção da diversidade e inclusão, o Atlântico conta com um Comitê de Diversidade responsável por estimular um ecossistema cada vez mais diverso, não limitando-se apenas ao recrutamento, mas investindo em ações afirmativas garantindo a retenção desses colaboradores e a multidisciplinaridade da organização. ""Este Banco visa abranger todas as oportunidades abertas nas áreas do Instituto Atlântico em todos os níveis de senioridade. Vamos acompanhar as candidaturas e, quando uma posição for aberta, entraremos em contato com aquelas pessoas que tenham compatibilidade com a vaga.Vem ser um(a) Atlante! 🚀🧡💙",remote,0,Brazil,2023-02-07,0,Fulltime,Brazil
Pessoa Engenheira de Dados - CoE xTech,BIP Brasil,"Já conhece a Bip?O nosso propósito é provocar transformações significativas desafiando o status quo constantemente. Somos uma consultoria internacional, jovem, fundada na Itália em 2003 com um ecossistema em evolução que proporciona uma transformação significativa devido à sua abordagem personalizada, atitude de criador único e espírito pioneiro em um mundo de constante mudanças. Somos visionários e sonhadores, olhando as coisas por diferentes pontos de vista, almejando descobrir novas metodologias e processos que solucionam a complexidade do mundo atual causando impacto positivo.Com capilaridade global, possuímos mais de 5.000 funcionários, com escritórios em 12 países e em 4 continentes, com projetos correntes em mais de 40 países. No Brasil estamos presentes com escritórios em São Paulo e no Rio de Janeiro desde 2010 suportando grandes empresas através de projetos estratégicos e de transformação e atuando principalmente nos setores de Energia, O&G, Utilities, Serviços Financeiros, Telecomunicações, Varejo, Bens de consumo, Serviços e Agronegócios. A melhor maneira de materializar a nossa forma de atuação é através do nosso payoff “HERE TO DARE”.xTechxTech é nosso Centro de Excelência em Ciência de Dados e Tecnologia. Somos mais de 300 pessoas entre cientistas de dados, engenheiros, analistas de dados, especialistas em soluções e arquitetos. Hoje a xTech é a maior comunidade de cientistas de dados da Itália, sendo portanto uma das maiores da Europa. No Brasil, já somos mais de 30 Bipers focados na disciplina de dados (e crescendo). Somos parceiros da Microsoft e Google. Atuamos com os principais frameworks e provedores de serviços em cloud, como Azure, AWS e GCP.A cultura da BIP está intrinsecamente expressa em nossos 4 valores de Flexibilidade, Inovação, Excelência e Integridade.Em diversidade, temos metas claras a fim de termos mais mulheres na liderança de nossa em presa, nos próximos anos: Ter 01 mulher na posição de sócia até 2023. Ter 35% de mulheres na posição de diretora até 2023. Ter 50% de mulheres na posição de gerente sênior até 2023. Assegurar representatividade de mulheres em 50% em todos os cargos até 2023.Responsabilidades e atribuiçõesPrincipais atividades:Projetar soluções de ETL;Extrair, transformar e carregar (ETL) dados de um banco de dados para outro;Desenvolver estratégias de aquisição de dados, recuperação de informação, implementação de pipelines de processamentos de dados e armazenamento de dados;Planejar e modelar estruturas de comunicação de dados entre sistemas legados e repositórios de dados;Desenvolver estrutura de informações e dados, inclusive, com integração de dados estruturados com não estruturados;Sugerir novos caminhos, sejam técnicas ou tecnologias, para evoluir a prática de ciência e engenharia de dados e agregação de valor aos usuários e clientes.Requisitos e qualificaçõesFormação:Superior completo, porém todos os cursos são bem-vindos!Competências esperadas:Experiência na construção de pipelines usando SSIS/SQL;Experiência em extração e tratamento de dados estruturados/não estruturados;Programação Orientada a Objetos (POO) - Qualquer linguagem (Python, Java, C++, C#, PHP...Conhecimento em Bancos de Dados relacional (SQL Server, MySQL, PostgreSQL) e não relacional (MongoDB).Perfil empreendedor, com apetite por grandes desafios de negócios e vontade de trabalhar na dinâmica de uma consultoria.Competências desejáveis:Experiência em projetos utilizando AWS, GCP ou Microsoft;Conhecimentos em ferramentas de orquestração de fluxo de dados (Airflow, Luigi e etc);Conhecimento das ferramentas: Python Spark, Glue, Redshift, AWS lambda, S3, Athena, Spark, hiveConhecimentos em processamento e transformação de dados com Spark (Python/Scala);Atuação em modelo ágil.Informações adicionaisNossos benefícios são flexíveis e você poderá distribuí-los de acordo com suas necessidades e interesses: All Points (Programa de pontos para passagens áreas e hospedagens) Assistência Médica Assistência Odontológica Seguro de vida Meu Pet Club Mobilidade (incluindo opção de combustível) Reembolso Flex (óculos, vacinas, educação e outros) Vale Refeição e/ou Vale AlimentaçãoBem-estar: VT, Birthday off, Gympass, Licença Maternidade de 180 dias e Licença Paternidade de 30 dias, além de auxílio creche no primeiro ano do bebê.Desenvolvimento e engajamento: Academia BIP com Webinars e Treinamentos à distância. Programa de mentoria com acesso a diversos profissionais com diferentes perfis e conhecimentos.Local de Trabalho:No Brasil, nossas bases ficam em São Paulo e no Rio de Janeiro. Por conta da COVID e de novos modelos de trabalho praticados por nós e nossos clientes, estamos em home office por tempo indeterminado.",remote,0,Brazil,2023-02-20,0,Fulltime,Brazil
DATA ENGINEER JR,COA Tecnología,Nan,remote,0,Argentina,2023-02-17,0,0,Argentina
Data Engineer,Stori,Nan,remote,0,Mexico,2023-03-29,0,0,Mexico
Data Engineer (Homeoffice),GSB Solutions,"We are looking for a Data EngineerMandatoryFluent-Advanced English+2 years of experienceRequisitosData engineers to build data pipelines that transform raw, unstructured data into formats data scientists can use for analysis . They are responsible for creating and maintaining the analytics infrastructure that enables almost every other data function.Python, Unix, SQL.Snowflake, ETL exposureBeneficiosWe offerJob stability and growth,Job Type Full-time, On siteBenefitsHome office",remote,0,Mexico,2023-02-21,Intermedio,Fulltime,Mexico
Data Engineer (Homeoffice),GSB Solutions,Nan,remote,0,Mexico,2023-02-21,0,0,Mexico
Data Engineer (Homeoffice),GSB Solutions,"We are looking for a Data EngineerMandatoryFluent-Advanced English+2 years of experienceRequisitosData engineers to build data pipelines that transform raw, unstructured data into formats data scientists can use for analysis . They are responsible for creating and maintaining the analytics infrastructure that enables almost every other data function.Python, Unix, SQL.Snowflake, ETL exposureBeneficiosWe offerJob stability and growth,Job Type Full-time, On siteBenefitsHome office",remote,0,Mexico,2023-02-21,Intermedio,Fulltime,Mexico
Data Engineer (Homeoffice),GSB Solutions,"We are looking for a Data EngineerMandatoryFluent-Advanced English+2 years of experienceRequisitosData engineers to build data pipelines that transform raw, unstructured data into formats data scientists can use for analysis . They are responsible for creating and maintaining the analytics infrastructure that enables almost every other data function.Python, Unix, SQL.Snowflake, ETL exposureBeneficiosWe offerJob stability and growth,Job Type Full-time, On siteBenefitsHome office",remote,0,Mexico,2022-12-11,Intermedio,Fulltime,Mexico
Data Engineer,Enroute,"Enroute is about being exceptional. We deliver IT services and solutions by tech-savvy problem solvers, constantly looking for innovative approaches to everyday problems. Enrouters have unique ideologies, principles, and incredible life stories. Everyone is welcome at Enroute.We take pride in our culture. We want every Enrouter to enjoy working with us and become part of a great community of highly driven, responsible, respectful, and happy people. We offer outstanding benefits, compensation, flexible schedules, and policies that balance work and personal life. We strive to be involved and know our people to improve continuously.As a Data Engineer you will be responsible for creating and maintaining dataflows, creating reports, and loading data from various data sources.RequirementsStrong written and verbal communication skills in both Spanish and English5+ years of experience in data warehousing principles and implementationExcellent SQL development skills, with a strong preference for Microsoft SQL Server (5+ years)5+ years of experience in ETL and ELT1+ years of experience in report design1+ years of experience using GitAdditionally, basic knowledge and experience in Azure Data Factory and SSRS are expected.ResponsabilitiesBreakdown user requirements into tasksDesign data warehouse solutions to support data analytics and reportingDevelop and implement ETL and ELT processesCreation of stored procedures for data transformationsDesign and creation of reports and dashboardsBenefitsMonetary compensationYear-end BonusIMSS, AFORE, INFONAVITMajor Medical Expenses InsuranceMinor Medical Expenses InsuranceLife InsuranceFuneral Expenses InsurancePreferential rates for car insuranceTDU MembershipHolidays and VacationsSick daysBereavement daysCivil Marriage daysMaternity & Paternity leaveEnglish, Japanese, and Spanish classesPerformance Management FrameworkCertificationsTALISIS Agreement: Discounts at ADVENIO, Harmon Hall, U-ERRE, UNIDTaquitos RewardsAmazon Gift Card on your BirthdayWork-from-home BonusLaptop PolicyEqual employmentEnroute is committed to providing equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state, or local laws. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, and training.",remote,0,Mexico,2023-03-24,Director,Fulltime,Mexico
Python Developer (Data Science),Manglar,"Manglar is a highly specialized, ultra-high-resolution, AI-powered crop analytics platform. Our goal is to improve agricultural productivity and fight food insecurity worldwide. We not only address some of the challenges the world is facing, such as population growth, limited arable land, climate change, and labor shortages, but also help farmers maximize their yields and minimize their environmental footprint.Our platform offers features to protect crops, use agrochemicals more efficiently, maximize land use, control productivity, and optimize field work. We provide insights on population, measure and project growth, evaluate threats, and assess terrain.We use images that are 200 times better than the best commercial satellite and build robust, accurate, and detailed AI models. We take censuses of all plants and eliminate errors associated with sampling. We also closely monitor crops from germination to harvest and see the field as a human does.Job FunctionsDesarrollar y mantener el motor de AI y analítica geo-espacial.Desarrollar y mantener las librerías de analítica geo-espaciales.Construir algoritmos y paquetes de procesamiento AI y analítica geo-espacial.Probar el funcionamiento y la eficiencia de las soluciones desarrolladas.Resolver problemas, bugs y actualizar versiones.Trabajar con desarrolladores, analistas y científicos de datos para mejorar y optimizar las soluciones.Escribir documentaciones técnicas de las soluciones creadas.Qualifications And RequirementsGrado en ingeniería de sistemas, software, ciencias de la computación o similar.Experiencia comprobada como desarrollador Python.Experiencia comprobada usando Python, Pandas y Numpy.Experiencia y entrenamiento en Data Science.Experiencia usando Visual Studio Code y Git.Habilidad para analizar requerimientos complejos.Buen nivel de lectura y escritura en inglés.Atención a los detalles.Capacidad de autogestión.Experiencia trabajando en equipos remotos.Habilidades de comunicación clara y directa.Desirable SkillsOSGeoSkimageBenefits100% RemoteComputer ProvidedLife InsuranceVacation on Birthday1DOC3HeadspacePlatziSpotify",remote,0,Colombia,2023-03-28,Intermedio,Fulltime,Colombia
Analista de Dados Junior,Webjump,"Como Analista de Dados Junior na WEBJUMP, você terá como responsabilidade realizar a implementação de sistemas de coleta, armazenamento, transformação, visualização e análise de dados de e-commerce e operações online.Responsabilidades e atribuiçõesImplementação de ferramentas de Analytics;Criação de painéis e relatórios;Apresentação de indicadores.Requisitos e qualificaçõesInglês intermediário/avançado;Conhecimento em Google Analytics 4, Google Tag Manager, Datastudio;Conhecimento em JavaScript, HTML, CSS;Conhecimento em ETL;Disposição para ensinar o que sabe e aprender coisas novas;Disposição para compartilhar conhecimento e aprender coisas novas.Diferenciais:Experiência com E-commerce ou Marketing Digital;Conhecimento de Adobe Analytics, Banco de Dados, Estatística.Informações adicionaisContratação CLT.",remote,0,Brazil,2023-04-06,0,Fulltime,Brazil
Engenheiro de Dados (Pleno) - Remoto,Humtech - Recrutando para Tecnologia,"Venha trabalhar em uma empresa que está transformando a experiência de compra! Estamos buscando um profissional com experiência de mercado na área de Ciência de Dados para se juntar à nossa equipe de Dados!Nossa empresa monta e opera lojas autônomas em condomínios, empresas e outros locais de acesso controlado, oferecendo aos nossos clientes uma experiência de compras revolucionária, onde toda experiencia de compra do cliente acontece do nosso próprio app. Como Engenheiro de Dados, você terá a oportunidade de trabalhar com uma equipe de profissionais altamente qualificados, que estão sempre buscando novas maneiras de explorar dados para criar valor para nossos clientes.ResponsabilidadesIdentificar e resolver problemas relacionados a dados e infraestrutura de dados;Desenvolver e manter pipelines de dados eficientes e escaláveis;Criar soluções robustas e escaláveis para lidar com grandes volumes de dados;Extração de dados brutos de diferentes fontes, incluindo bancos de dados, planilhas, arquivos de texto, APIs, etc.Automatizar fluxos de trabalho de dados para garantir o uso eficiente do tempo e recursos;Limpeza, validação e padronização dos dados extraídos para garantir a qualidade e integridade dos dados.Transformação de dados em um formato que possa ser facilmente carregado no sistema de destino, incluindo aCarregamento dos dados transformados no sistema de destino, incluindo a criação de rotinas automatizadas para carregar os dados, validá-los e atualizá-los com frequência.Colaborar com outros membros da equipe técnica para projetar, implementar e manter sistemas de dados complexos (principalmente Modelos de Machine Learning);Configuração do ambiente de produção para suportar os sistemas e processos de dados;Preparação dos scripts e pacotes necessários para a implantação do modelo e das soluções em nível de produção;Testes de integração e aceitação do sistema antes da implantação;Monitoramento e solução de problemas durante a implantação, para minimizar o impacto nos usuários finais;Documentação adequada dos procedimentos de implantação e gerenciamento de configurações para facilitar alterações futuras.Habilidades avançadas de programação;Experiência prática em ETL e Deploy;Conhecimento em MySQL;Capacidade de usar serviços AWS; Python;Arquiteturas de serviços em cloud (AWS ou Azure);Habilidade com stack Hadoop/Spark;SQL.✈️Férias remuneradas🏥Plano de Saúde🦷Plano Odontológico🏋🏽‍♀️Auxílio academia🧠Parceria para atendimento psicológico📚Auxílio estudo🎉Eventos Internos🎂Um mimo no aniversário🥇Programa de reconhecimento",remote,0,Brazil,2023-04-11,Semi-senior-Senior,Fulltime,Brazil
Data Engineer,Modus Create,"Experience: Senior LevelHello! Are you ready to Work from Home and transform your career?We're looking for a Data Engineer to join the engineering team at Modus. Want to help our clients build awesome solutions to accomplish their goals and vision? Are you interested in working from home with some of the best talents on the planet? Then keep reading.About YouYou love building great solutions. Your work could be supporting new feature development, migrating existing features, or creating new database architectures and ETL processes. You'll have a primary focus on setting up, transform and configuring data for business intelligence, data science, and analytics workloads.You will be responsible for creating and maintaining ETL pipelines and systems that leverage BI and ""big data"" technologies. You will work with business analysts to analyze and document business requirements. You will also work with engineers and product teams distributed across the United States and around the world to implement, test, maintain, and troubleshoot data warehouse feeds and data-related issues.You must have experience with one or more commercial ETL tools that uses SQL (e.g. SSIS, Kettle, Talend). You also must have experience with MS SQL Server, Oracle, PostgreSQL, or a similar large-scale database (SSRS, OLAP, ROLAP). Experience with both a traditional relational (row-oriented) store and a column-oriented store (especially Vertica) and experience with at least one ROLAP store (especially Mondrian) strongly preferred. Experience with a document/object store (e.g., MongoDB), a key-value store (e.g., Redis), and Spark/Hadoop would also be a plus.You have a good understanding of data warehouse modeling. You enjoy supporting the team with data testing, as well as working to ensure deployment and integration tasks are completed successfully. You are able to come up with initiatives to continuously improve report performance and to recommend changes in project design concepts to improve efficiency. You regularly contribute to requirement gathering sessions.You relish creating high-quality code and reports from the comfort of your own home. Your engineering projects will focus on understanding customers' needs and translating those needs from product specifications into functional, production-ready code. You'll have the opportunity to ship code daily that will be used by customers.You love learning. Data Engineering is an ever-evolving world. You enjoy playing with new tech and exploring areas that you might not have experience with yet. You are a self-driven, self-learner willing to share knowledge and participate actively in your community.Having overlap with your team is critical when working in a global remote team. Modus requires all team members to overlap with EST morning hours daily and for our client, we need you to be at least 4 hours per day aligned with CET timezone. In addition, reliable high-speed internet is a must.Things You Might DoModus is a fast-growing, and remote-first company, so you'll likely get experience on many different projects across the organization. That said, here are some things you'll probably do:Give back to the community via open source and blog postsTravel and meet great people- as part of our remote-first lifestyle, it's important that we come together as needed to work together, meet each other in person and have fun together. Please keep that in mind when you apply. Teach and be taught: Modus creates active teams that work in internal and external projects together, giving opportunities to stay relevant with the latest technologies and learning from experts worldwideInteract directly with internal and external clients to represent Modus and its valuesWhy Modus Create:Our Benefits may vary according to the Country you are located in, so please reach out to our recruiter in case you have any questions.If you become a contractor we offer:Competitive compensation100% Remote work (could vary according to the client's needs)Travel according to client's needsThe chance to work side-by-side with thought leaders in emerging techDo you have what it takes? Apply today!About Modus CreateModus Create is a digital product agency that accelerates digital transformation. We use high performing small teams, emerging technology, and ""new school"" product development tools and methods to accelerate business outcomes. We support our clients across four core delivery areas: business and product strategy consulting, customer experience, cloud services, and Agile software delivery.Driven by a team of world-class talent, we have been recognized by the Inc. 5000 list of fastest growing private companies 5 years in a row, the Washington Business Journal list of Fastest Growing Companies in the Washington, DC area two years in a row, and a top company for remote work by FlexJobs. We're also an official partner to Atlassian, AWS, Cloudflare, GitHub, InVision, Ionic Framework, and Vue.js!Based on the model of an open source team, Modites work remotely, and are located across the globe. That's allowed us to hire the best talent in the world, no matter where they live. Our highly collaborative, autonomous, and effective working environment is fueled by a team unified by a love of continuous learning. Our years of thought leadership including books, whitepapers, blog posts, conference and MeetUp talks, demonstrate our commitment to sharing what we've learned.We encourage every Modus employee to do the same. Our company is a platform for the growth of our employees. Through working with our distributed team of experts on challenging projects, every person that joins the Modus team can expect to continue growing and learning every day. This is your chance to be part of building something great.Federal law requires Modus Create to confirm the identity and employment eligibility of all persons hired to work in the United States as full-time employees. The statement above does not apply to 1099 Contractors or International ContractorsModus Create is committed to creating a diverse environment, and each of us contributes to inclusion. All qualified applicants will receive consideration for employment without regard to race, color, sex, age, national origin, religion, sexual orientation, gender identity and/or expression, status as a veteran, and basis of disability or any other federal, state or local protected class.",remote,0,Ecuador,2023-03-23,No corresponde,Fulltime,Ecuador
Pessoa Engenheira de Dados Pleno,Distrito,"Somos uma plataforma de inovação para startups, corporações e investidores. Ajudamos startups a ter sucesso, corporações a se transformar e investidores a gerar retornos exponenciais por meio de nosso forte ecossistema de inovação.Buscamos Sempre Nos Atualizar, Afinal, Não Existe Certo Ou Errado Quando Falamos De Cultura, Mas Escolhemos Seguir Atitudes Que São Reflexo Dos Nossos ValoresNossa Cultura se desenvolve e evolui com o tempo, ou seja, nada é escrito em pedra.#Somos pessoas provocativas e fazemos acontecer.#Somos parceiros, fazemos parte de equipes plurais, inclusivas e diversas, e estamos aqui para somar.#Somos vibrantes e entendemos que resultado também é o nosso propósito.Criamos um espaço seguro para discussões sobre D&I e promovemos iniciativas que tornam o nosso ambiente cada vez mais diverso, com equidade e inclusão, visando reduzir a violência, a discriminação, desigualdade, preconceitos sociais, sexuais, étnico-raciais e de identidade de gênero.Principais AtividadesA pessoa Engenheira de Dados de nível pleno atuará em todas as etapas do ETL (ou ELT a depender do caso), zelando pela eficiência e qualidade do processo desde a captura do dado até a entrega do dado já trabalhado ao seu destino. Ela atuará no planejamento, implementação e manutenção de todos os processos de dados, incluindo armazenamento e processamento que ocorram no Data Lake. Atuará também na melhoria contínua e revisão de todos os processos já instalados.Competências TécnicasPython (avançado)Pandas, numpy e outras bibliotecas voltadas para a manipulação de dadosBanco de Dados RelacionaisSQL, DML, DDLAnálise de dadosApache AirflowApache SparkDelta LakeAWS: IAM, S3, Lambda, EMR, EC2, RDSGit DesejávelWeb scraping;Conhecimento em Metabase e Looker Studio.🍝Vale-refeição ou vale-alimentação em um único cartão;🏥Convênio Médico SulAmérica (sem coparticipação);🤸🏼‍♂️Gympass para se manter ativo a qualquer hora e lugar;🎂Birthday Day Off para curtir no seu aniversário como quiser;🤵🏽‍♂️Programa Partnership para se tornar um sócio do Distrito;👩🏽‍⚕️Parceria com plataforma de terapia online com gratuidades e descontos;🤩Parceria com o Sesc;🙆🏽Yoga na Cadeira e Meditação Mindfulness para ajudar a relaxar e renovar as energias;👶🏼Reembolso creche;💸Remuneração variável em reconhecimento de desempenho, performance e alinhamento de cultura.Sobre o Distrito - https://distrito.me/",remote,0,Brazil,2023-03-23,Semi-senior-Senior,Fulltime,Brazil
Analista de Dados,e-Auditoria - 3ª Geração de Auditoria Digital,"ResponsabilidadesColetar e analisar grandes conjuntos de dados para identificar tendências, padrões e insights.Desenvolver e manter relatórios, painéis e visualizações para comunicar as descobertas.Colaborar com os stakeholders para entender suas necessidades de análise de dados e fornecer recomendações para melhorias.RequisitosCurso superior em uma área relevante, como Matemática, Estatística ou Ciência da Computação;Fortes habilidades analíticas e experiência em trabalhar com grandes conjuntos de dados;Proficiência em SQL e ferramentas de visualização de dados, como Tableau ou Power BI;Disponibilidade para entrevista em horário comercial e início imediato.Experiência em análise estatística e modelagem.Será um diferencial: Conhecimento de linguagens de programação como Python ou R.Excelentes habilidades de comunicação e apresentação.",remote,0,Brazil,2023-03-03,Ayudante,Fulltime,Brazil
